NODE INDEX 		 PARENT NODE INDEX 				 NODE
1		|		0		|	[[1, 6, 7], [2, 5, 0], [4, 3, 8]]
2		|		0		|	[[1, 6, 7], [0, 2, 5], [4, 3, 8]]
3		|		0		|	[[1, 6, 7], [2, 3, 5], [4, 0, 8]]
4		|		0		|	[[1, 0, 7], [2, 6, 5], [4, 3, 8]]
5		|		4		|	[[1, 6, 7], [2, 0, 5], [4, 3, 8]]
6		|		4		|	[[1, 6, 7], [2, 5, 8], [4, 3, 0]]
7		|		4		|	[[1, 6, 0], [2, 5, 7], [4, 3, 8]]
8		|		7		|	[[1, 6, 7], [4, 2, 5], [0, 3, 8]]
9		|		7		|	[[0, 6, 7], [1, 2, 5], [4, 3, 8]]
10		|		9		|	[[1, 6, 7], [2, 3, 5], [4, 8, 0]]
11		|		9		|	[[1, 6, 7], [2, 3, 5], [0, 4, 8]]
12		|		11		|	[[1, 7, 0], [2, 6, 5], [4, 3, 8]]
13		|		11		|	[[0, 1, 7], [2, 6, 5], [4, 3, 8]]
14		|		13		|	[[1, 6, 7], [2, 5, 8], [4, 0, 3]]
15		|		14		|	[[1, 0, 6], [2, 5, 7], [4, 3, 8]]
16		|		15		|	[[1, 6, 7], [4, 2, 5], [3, 0, 8]]
17		|		16		|	[[6, 0, 7], [1, 2, 5], [4, 3, 8]]
18		|		17		|	[[1, 6, 7], [2, 3, 0], [4, 8, 5]]
19		|		18		|	[[1, 6, 7], [0, 3, 5], [2, 4, 8]]
20		|		19		|	[[1, 7, 5], [2, 6, 0], [4, 3, 8]]
21		|		20		|	[[2, 1, 7], [0, 6, 5], [4, 3, 8]]
22		|		21		|	[[1, 6, 7], [2, 5, 8], [0, 4, 3]]
23		|		21		|	[[1, 6, 7], [2, 0, 8], [4, 5, 3]]
24		|		23		|	[[0, 1, 6], [2, 5, 7], [4, 3, 8]]
25		|		23		|	[[1, 5, 6], [2, 0, 7], [4, 3, 8]]
26		|		25		|	[[1, 6, 7], [4, 2, 5], [3, 8, 0]]
27		|		25		|	[[1, 6, 7], [4, 0, 5], [3, 2, 8]]
28		|		27		|	[[6, 7, 0], [1, 2, 5], [4, 3, 8]]
29		|		27		|	[[6, 2, 7], [1, 0, 5], [4, 3, 8]]
30		|		29		|	[[1, 6, 7], [2, 0, 3], [4, 8, 5]]
31		|		29		|	[[1, 6, 0], [2, 3, 7], [4, 8, 5]]
32		|		31		|	[[1, 6, 7], [3, 0, 5], [2, 4, 8]]
